priceLevel,count,min_price,max_price,mean_price,std_price
1,57386,1,256,1.3132471334471822,7.085257406718469
2,100,16,256,78.08,54.6872983978968
3,164,16,256,70.82926829268293,58.461209388296965
4,549,16,512,78.25136612021858,65.56995082808486
5,699,16,256,120.4005722460658,91.56581111263665
6,1496,16,512,83.71122994652407,92.04286936110451
7,1677,16,1024,111.21765056648778,126.77094324426301
8,2346,16,256,110.09718670076727,56.43263373141901
9,2391,16,512,133.8151401087411,91.44166188342915
10,2654,16,1024,135.6744536548606,138.02939034879307
11,2139,32,512,91.6914446002805,69.32815485690871
12,3261,32,512,93.38975774302361,63.587140387592164
13,2578,32,1024,166.83941039565553,242.50109234571417
14,3465,32,512,166.66782106782108,103.44003777619767
15,5040,32,512,161.43492063492064,143.88996496992107
16,3087,32,2048,267.0191124068675,329.53114136268294
17,3023,32,512,215.04465762487595,159.6430094315568
18,1884,32,1024,182.70912951167728,144.56429787599126
19,3385,32,1024,178.6516986706056,149.42348464618905
20,1951,32,1024,162.90312660174268,224.34311255127395
21,2139,32,512,200.6021505376344,136.742471365925
22,1628,32,512,128.47174447174447,75.88542175098152
23,2985,32,512,199.7400335008375,110.0393152170192
24,3206,32,2048,264.5938864628821,285.5113251126918
25,3368,32,1024,140.41805225653206,112.53643884995488
26,3604,32,1024,288.87902330743617,219.02392868395387
27,2920,32,1024,172.7013698630137,102.94737609802311
28,3227,32,2048,232.99411217849396,275.5798547062929
29,1624,64,2048,230.58128078817734,171.25341138928638
30,2494,64,1024,245.04250200481155,151.21872796794048
31,3352,64,512,221.80429594272076,166.41210008306223
32,3631,32,4096,450.8465987331314,554.2965326957577
33,2654,32,1024,249.17558402411456,222.78734219177767
34,3527,32,1024,351.41026368018146,301.5590823252672
35,2575,64,1024,424.6866019417476,321.8107290524084
36,3829,64,2048,326.618960564116,269.90659452076164
37,2125,64,1024,245.48894117647058,204.80904821044618
38,1892,64,512,206.54545454545453,150.59592024890839
39,4036,64,1024,341.80376610505454,228.93026409753244
40,2713,64,2048,479.30409141172134,372.3664091607986
41,1414,32,1024,302.82319660537485,223.61238357606967
42,1221,32,1024,290.4897624897625,243.84867506208371
43,1447,64,1024,251.7097442985487,208.78242510381605
44,2247,64,2048,500.3791722296395,511.90723509228815
45,1784,64,4096,466.69058295964123,649.2245537140019
46,1429,64,2048,432.32470258922325,411.04491543577274
47,2127,64,2048,488.5002350728726,373.53756968864667
48,1906,128,8192,772.2308499475341,765.3352482529369
49,2630,128,4096,824.1642585551331,590.3010768831926
50,2179,128,16384,987.2859109683341,1157.2242955415672
51,7586,32,32768,616.2636435539151,980.5854858960636
