price,representation,visibility
1,0.2218785679653409,-0.04229728717716355
2,0.2626335298809766,0.008755632680599756
3,0.10114644102788682,0.07734370675536441
4,0.17036301359150413,-0.05397877713830217
5,0.026189843126827973,0.04629045243967449
6,0.0576074886216119,-0.008176454138853276
7,0.06823904781269062,-0.021953333526976336
8,0.028719677182226254,0.001472441044374731
9,0.04181459874564024,-0.018329377070763393
10,0.020887748877801586,0.00944476343746935
11,0.0005200431674930009,0.0014134543694528118
