price,representation,visibility
1,0.17075201745831728,-0.005695275809610378
2,2.9818735221779604e-05,-1.9716364532124432e-05
5,7.509903685485233e-05,-5.405243125140406e-05
6,6.074186804436586e-05,-4.336965027124482e-06
7,0.00012148373608873172,-6.67625615197662e-05
8,0.0002606378337903699,-0.00014782802775588713
9,0.00028272578580650293,-0.00019601377072029605
10,0.00026836861699601646,1.197216964191457e-05
11,1.3252771209679825e-05,-1.0727178537266032e-05
12,0.0008073146461896626,-0.00024831680136207636
13,0.00036666000346780844,-3.3281770709187735e-05
14,0.00031033572582666924,-3.504612453356581e-05
15,0.0018907286925809882,-0.00044945714085685017
16,0.0015572006171373793,-0.00028682750291324135
17,0.0018012724869156493,-0.0008053471097604768
18,0.001843239595746302,-0.00037923770997044
19,0.0014644312186696206,-0.000738744257462724
20,0.0024926253850206135,-0.0003382948354516478
21,0.0030713297278432993,-0.0001820517106019201
22,0.0031850826807263842,-3.230116132983251e-05
23,0.0029531591845569877,-0.0006136185056776775
24,0.006344764216634216,0.00032027484586578427
25,0.005589356257682466,-0.0011300014624238451
26,0.002967516353367474,-0.000772776321039888
27,0.004882541793166209,-0.0002573397457524152
28,0.011194174081776224,-0.0017459318942762234
29,0.012258813368953837,-0.0010291864831779747
30,0.011417262397139168,-0.000997508894983996
31,0.008315009536473282,-0.0005715424028525928
32,0.015004345804559175,6.670753595806704e-05
33,0.029330591482223063,-0.005361033292567891
34,0.05411437804192514,-0.003837404712183759
35,0.03179229373442109,0.003747846351785801
36,0.044270882225935455,-0.005938278508263041
37,0.04832402142089587,-0.003418141841154486
38,0.030546533240711188,0.012030749895064675
39,0.02130272532195951,-0.0013227616904939905
40,0.06823078817543576,-0.002919803531039211
41,0.0395473736872854,-0.0032402952928888493
42,0.05768820867813547,-0.001833042999256157
43,0.06609819640827812,0.00977818424904947
44,0.036360082211357406,0.010696760461056387
45,0.041496635452709145,-0.0017438067889160441
46,0.054139779186743696,0.02120706887360114
47,0.03300713109530841,0.0011144677732260744
48,0.00975072641752193,0.002127977785064277
49,0.002322548154496389,-0.00013706862863432012
50,0.0545064391902115,-0.011374367530728742
