price,representation,visibility
1,0.11901331734735973,0.11411380129670806
2,0.057464096018976896,0.011442683642040055
3,0.10950875360973597,-0.002483329880922411
4,0.1201639206889439,-0.02599442916352017
5,0.11099615820957096,-0.029041355949683947
6,0.16295540686881188,-0.08003450291400963
7,0.09619785220709572,0.0036439557025088054
8,0.05533531868811881,0.03152343837402808
9,0.09681344110973597,-0.05273152020578117
10,0.047082882116336634,0.016244801499482577
11,0.02446885313531353,0.013033971723443533
